time,zone1,zone2,zone3,zone4
24-05-11 18:15.29,286,444,287,287
24-05-11 18:15.44,277,450,278,278
24-05-11 18:16.00,277,446,278,278
24-05-11 18:16.15,387,432,278,278
24-05-11 18:16.31,277,448,278,278
24-05-11 18:17.03,277,450,278,278
24-05-11 18:17.18,277,449,278,278
24-05-11 18:17.50,277,443,278,278
24-05-11 18:18.06,266,442,278,278
24-05-11 18:18.21,277,438,278,278
24-05-11 18:18.37,277,445,278,278
24-05-11 18:18.52,277,448,283,278
24-05-11 18:19.08,277,450,278,278
24-05-11 18:19.23,277,445,278,278
24-05-11 18:19.39,277,445,278,278
24-05-11 18:19.54,282,437,278,278
24-05-11 18:20.10,282,437,278,278
24-05-11 18:20.25,277,448,278,278
24-05-11 18:20.41,277,449,278,278
24-05-11 18:20.56,277,448,278,278
24-05-11 18:21.12,277,448,278,278
24-05-11 18:21.27,277,447,278,278
24-05-11 18:21.43,277,446,278,278
24-05-11 18:21.58,277,447,278,278
24-05-11 18:22.14,277,442,278,278
24-05-11 18:22.29,277,443,278,278
24-05-11 18:22.45,277,446,278,278
24-05-11 18:23.00,277,440,278,278
24-05-11 18:23.32,277,452,278,278
24-05-11 18:23.48,277,439,278,278
24-05-11 18:24.20,277,445,278,278
24-05-11 18:24.35,277,444,278,278
24-05-11 18:24.51,277,436,278,278
24-05-11 18:25.06,283,440,278,278
24-05-11 18:25.22,277,442,278,278
24-05-11 18:25.37,277,436,278,278
24-05-11 18:25.53,277,437,278,278
24-05-11 18:26.08,440,294,337,277
24-05-11 18:26.24,283,463,277,299
24-05-11 18:26.39,277,517,277,382
24-05-11 18:26.55,384,297,338,288
24-05-11 18:27.10,315,288,355,283
24-05-11 18:27.26,483,294,367,277
24-05-11 18:27.58,277,547,277,354
24-05-11 18:28.13,376,283,348,282
24-05-11 18:28.45,277,512,277,362
24-05-11 18:29.01,474,311,396,277
24-05-11 18:29.16,382,372,321,346
24-05-11 18:29.32,473,311,392,283
24-05-11 18:29.47,414,277,351,283
24-05-11 18:30.03,283,512,277,336
24-05-11 18:30.18,294,327,400,277
24-05-11 18:30.34,296,349,321,277
24-05-11 18:30.49,351,326,339,297
24-05-11 18:31.05,407,295,350,277
24-05-11 18:31.53,390,288,367,277
24-05-11 18:32.09,277,493,277,316
24-05-11 18:32.24,277,505,277,354
24-05-11 18:32.40,277,547,277,348
24-05-11 18:33.12,293,423,289,357
24-05-11 18:33.44,349,288,340,283
24-05-11 18:33.59,331,372,311,314
24-05-11 18:34.15,277,546,277,346
24-05-11 18:34.30,283,328,366,277
24-05-11 18:34.46,398,288,335,277
24-05-11 18:35.01,391,283,348,277
24-05-11 18:35.17,309,423,299,348
24-05-11 18:35.32,282,498,277,353
24-05-11 18:35.48,355,329,352,277
24-05-11 18:36.03,418,289,336,277
24-05-11 18:36.19,382,373,302,311
24-05-11 18:36.34,366,317,387,277
24-05-11 18:36.50,376,347,316,311
24-05-11 18:37.05,277,504,277,346
24-05-11 18:37.21,283,460,277,284
24-05-11 18:37.36,367,289,338,277
24-05-11 18:37.52,334,376,302,316
24-05-11 18:38.07,277,477,277,316
